state,year,health_coverage_total,gini,democracy ,gdp_per_capita,left,center_left,total_left,inflation,trade_openness,foreign_direct_investment,external_debt
Argentina,1945,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1946,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1947,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1948,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1949,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1950,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1951,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1952,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1953,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1954,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1955,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1956,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1957,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1958,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1959,NA,NA,0,NA,0,0,0,NA,NA,NA,NA
Argentina,1960,NA,NA,0,NA,0,0,0,NA,15.21,NA,NA
Argentina,1961,NA,NA,0,NA,0,0,0,20.3,11.99,NA,NA
Argentina,1962,NA,NA,0,1148,0,0,0,28.9,14.08,NA,NA
Argentina,1963,NA,NA,0,845,0,0,0,25.6,15.78,NA,NA
Argentina,1964,NA,NA,0,1166,0.031,0.026,0.057,28.8,11.13,NA,NA
Argentina,1965,NA,NA,0,1271,0.021,0.01,0.031,21.2,10.38,NA,NA
Argentina,1966,NA,NA,0,1266,0,0,0,25.6,11.64,NA,NA
Argentina,1967,NA,NA,0,1057,0,0,0,29,12.49,NA,NA
Argentina,1968,NA,NA,0,1136,0,0,0,10.3,11.89,NA,NA
Argentina,1969,NA,NA,0,1324,0,0,0,7.8,12.8,NA,NA
Argentina,1970,NA,NA,0,1317,0,0,0,6.5,10.34,89770000,NA
Argentina,1971,NA,NA,0,1366,0,0,0,31.3,12.62,125670000,NA
Argentina,1972,NA,NA,0,1401,0,0,0,64.2,14.04,71720000,NA
Argentina,1973,NA,NA,1,2084,0.004,0,0.004,65.5,13.32,100250000,NA
Argentina,1974,NA,NA,2,2824,0.004,0,0.004,30.6,13.19,17920000,NA
Argentina,1975,NA,NA,3,2011,0.004,0,0.004,197.7,11.8,55590000,NA
Argentina,1976,NA,NA,3,1932,0,0,0,438.3,15.1,244680000,202.55
Argentina,1977,NA,NA,3,2112,0,0,0,159.4,16.94,1.44E+08,173.28
