Measles immunization (% of children ages 12-23 months) source; World Bank Indicator,,,,
Births attended by skilled health staff (% of total) source; World Bank Indicator,,,,
"Infant mortality rate (per 1,000 live births) source; World Bank Indicator",,,,
year,region,immunization,birth_attended,infant_mortality
1960,Latin America,NA,NA,121
1961,Latin America,NA,NA,118
1962,Latin America,NA,NA,115
1963,Latin America,NA,NA,105
1964,Latin America,NA,NA,103
1965,Latin America,NA,NA,100
1966,Latin America,NA,NA,98
1967,Latin America,NA,NA,96
1968,Latin America,NA,NA,93
1969,Latin America,NA,NA,90
1970,Latin America,NA,NA,87
1971,Latin America,NA,NA,85
1972,Latin America,NA,NA,83
1973,Latin America,NA,NA,81
1974,Latin America,NA,NA,79
1975,Latin America,NA,NA,76
1976,Latin America,NA,NA,74
1977,Latin America,NA,NA,72
1978,Latin America,NA,NA,69
1979,Latin America,NA,NA,67
1980,Latin America,43.19,NA,64
1981,Latin America,50.35,NA,62
1982,Latin America,48.58,NA,59
1983,Latin America,47.75,NA,57
1984,Latin America,51.81,NA,54
1985,Latin America,59.93,NA,52
1986,Latin America,61.03,NA,50
1987,Latin America,60.25,NA,48
1988,Latin America,65.81,NA,46
1989,Latin America,69.6,NA,45
1990,Latin America,75.92,73.79326534,43
1991,Latin America,80.57,NA,41
1992,Latin America,82.68,NA,40
1993,Latin America,82.02,NA,38
1994,Latin America,82.6,NA,36
1995,Latin America,86.16,NA,35
1996,Latin America,84.19,NA,33
1997,Latin America,88.63,NA,31
1998,Latin America,90.97,NA,30
1999,Latin America,92.23,NA,28
2000,Latin America,93.62,85.73967834,27
2001,Latin America,94.8,NA,25
2002,Latin America,93.58,NA,24
2003,Latin America,94.68,NA,23
2004,Latin America,93.95,NA,22
2005,Latin America,93.35,NA,21
2006,Latin America,94.49,NA,20
2007,Latin America,94,NA,19
2008,Latin America,95.2,NA,18
2009,Latin America,94.35,NA,18
2010,Latin America,93.65,NA,18
2011,Latin America,94.46,92.58172374,17
2012,Latin America,94.74,NA,16
2013,Latin America,91.36,NA,16
2014,Latin America,92.37,NA,16
1960,Central Europe and the Baltics,NA,NA,NA
1961,Central Europe and the Baltics,NA,NA,NA
1962,Central Europe and the Baltics,NA,NA,NA
1963,Central Europe and the Baltics,NA,NA,NA
1964,Central Europe and the Baltics,NA,NA,NA
1965,Central Europe and the Baltics,NA,NA,NA
1966,Central Europe and the Baltics,NA,NA,NA
1967,Central Europe and the Baltics,NA,NA,NA
1968,Central Europe and the Baltics,NA,NA,45
1969,Central Europe and the Baltics,NA,NA,43
1970,Central Europe and the Baltics,NA,NA,41
1971,Central Europe and the Baltics,NA,NA,39
1972,Central Europe and the Baltics,NA,NA,37
1973,Central Europe and the Baltics,NA,NA,35
1974,Central Europe and the Baltics,NA,NA,33
1975,Central Europe and the Baltics,NA,NA,32
1976,Central Europe and the Baltics,NA,NA,30
1977,Central Europe and the Baltics,NA,NA,29
1978,Central Europe and the Baltics,NA,NA,28
1979,Central Europe and the Baltics,NA,NA,26
1980,Central Europe and the Baltics,NA,NA,25
1981,Central Europe and the Baltics,NA,NA,23
1982,Central Europe and the Baltics,NA,NA,23
1983,Central Europe and the Baltics,91.84,NA,22
1984,Central Europe and the Baltics,92.67,NA,21
1985,Central Europe and the Baltics,92.18,NA,21
1986,Central Europe and the Baltics,90.23,NA,20
1987,Central Europe and the Baltics,93.77,NA,20
1988,Central Europe and the Baltics,90.67,NA,20
1989,Central Europe and the Baltics,94.25,NA,19
1990,Central Europe and the Baltics,94.89,99.66995985,18
1991,Central Europe and the Baltics,94.35,NA,18
1992,Central Europe and the Baltics,93.61,NA,17
1993,Central Europe and the Baltics,93.73,NA,17
1994,Central Europe and the Baltics,94.35,NA,16
1995,Central Europe and the Baltics,95.06,NA,16
1996,Central Europe and the Baltics,96.32,NA,15
1997,Central Europe and the Baltics,96.35,NA,14
1998,Central Europe and the Baltics,96.58,NA,13
1999,Central Europe and the Baltics,97.17,NA,13
2000,Central Europe and the Baltics,96.69,99.62983007,12
2001,Central Europe and the Baltics,96.86,NA,12
2002,Central Europe and the Baltics,97.5,NA,11
2003,Central Europe and the Baltics,97.12,NA,11
2004,Central Europe and the Baltics,97.11,NA,10
2005,Central Europe and the Baltics,97.45,NA,9
2006,Central Europe and the Baltics,97.41,NA,9
2007,Central Europe and the Baltics,97.58,NA,8
2008,Central Europe and the Baltics,97.36,NA,8
2009,Central Europe and the Baltics,97.23,NA,7
2010,Central Europe and the Baltics,97.16,NA,7
2011,Central Europe and the Baltics,96.56,NA,6
2012,Central Europe and the Baltics,96.61,NA,6
2013,Central Europe and the Baltics,96.43,NA,6
2014,Central Europe and the Baltics,95.69,NA,6
1960,Middle East & North Africa,NA,NA,NA
1961,Middle East & North Africa,NA,NA,NA
1962,Middle East & North Africa,NA,NA,157
1963,Middle East & North Africa,NA,NA,162
1964,Middle East & North Africa,NA,NA,157
1965,Middle East & North Africa,NA,NA,153
1966,Middle East & North Africa,NA,NA,149
1967,Middle East & North Africa,NA,NA,145
1968,Middle East & North Africa,NA,NA,142
1969,Middle East & North Africa,NA,NA,138
1970,Middle East & North Africa,NA,NA,135
1971,Middle East & North Africa,NA,NA,130
1972,Middle East & North Africa,NA,NA,125
1973,Middle East & North Africa,NA,NA,121
1974,Middle East & North Africa,NA,NA,116
1975,Middle East & North Africa,NA,NA,111
1976,Middle East & North Africa,NA,NA,106
1977,Middle East & North Africa,NA,NA,102
1978,Middle East & North Africa,NA,NA,97
1979,Middle East & North Africa,NA,NA,92
1980,Middle East & North Africa,30.5,NA,87
1981,Middle East & North Africa,34.28,NA,82
1982,Middle East & North Africa,37.79,NA,78
1983,Middle East & North Africa,36.7,NA,73
1984,Middle East & North Africa,41.65,NA,68
1985,Middle East & North Africa,61.05,NA,64
1986,Middle East & North Africa,64.06,NA,61
1987,Middle East & North Africa,66.34,NA,57
1988,Middle East & North Africa,78.24,NA,55
1989,Middle East & North Africa,80.86,NA,52
1990,Middle East & North Africa,83.16,NA,50
1991,Middle East & North Africa,82.73,NA,48
1992,Middle East & North Africa,84.2,NA,46
1993,Middle East & North Africa,84.61,NA,45
1994,Middle East & North Africa,84.31,NA,43
1995,Middle East & North Africa,85.36,NA,42
1996,Middle East & North Africa,87.41,NA,40
1997,Middle East & North Africa,86.92,NA,38
1998,Middle East & North Africa,90.76,NA,37
1999,Middle East & North Africa,90.6,NA,36
2000,Middle East & North Africa,90.79,78.27845066,34
2001,Middle East & North Africa,90,NA,33
2002,Middle East & North Africa,89.17,NA,32
2003,Middle East & North Africa,88.82,NA,30
2004,Middle East & North Africa,88.96,NA,29
2005,Middle East & North Africa,89.02,NA,28
2006,Middle East & North Africa,88.89,NA,27
2007,Middle East & North Africa,89.12,NA,26
2008,Middle East & North Africa,89.3,NA,25
2009,Middle East & North Africa,91.08,NA,24
2010,Middle East & North Africa,91.3,NA,23
2011,Middle East & North Africa,91.36,89.72140601,22
2012,Middle East & North Africa,88.62,NA,22
2013,Middle East & North Africa,89.12,NA,21
2014,Middle East & North Africa,87.44,NA,20
1960,East Asia & Pacific,NA,NA,NA
1961,East Asia & Pacific,NA,NA,NA
1962,East Asia & Pacific,NA,NA,NA
1963,East Asia & Pacific,NA,NA,NA
1964,East Asia & Pacific,NA,NA,NA
1965,East Asia & Pacific,NA,NA,NA
1966,East Asia & Pacific,NA,NA,NA
1967,East Asia & Pacific,NA,NA,NA
1968,East Asia & Pacific,NA,NA,NA
1969,East Asia & Pacific,NA,NA,82
1970,East Asia & Pacific,NA,NA,78
1971,East Asia & Pacific,NA,NA,75
1972,East Asia & Pacific,NA,NA,72
1973,East Asia & Pacific,NA,NA,69
1974,East Asia & Pacific,NA,NA,66
1975,East Asia & Pacific,NA,NA,64
1976,East Asia & Pacific,NA,NA,61
1977,East Asia & Pacific,NA,NA,59
1978,East Asia & Pacific,NA,NA,57
1979,East Asia & Pacific,NA,NA,55
1980,East Asia & Pacific,NA,NA,53
1981,East Asia & Pacific,NA,NA,51
1982,East Asia & Pacific,NA,NA,50
1983,East Asia & Pacific,56.76,NA,48
1984,East Asia & Pacific,61.68,NA,47
1985,East Asia & Pacific,68.9,NA,46
1986,East Asia & Pacific,56.86,NA,45
1987,East Asia & Pacific,67.72,NA,45
1988,East Asia & Pacific,82.22,NA,44
1989,East Asia & Pacific,85.52,NA,44
1990,East Asia & Pacific,89.48,84.95624523,43
1991,East Asia & Pacific,86.06,NA,42
1992,East Asia & Pacific,82.48,NA,42
1993,East Asia & Pacific,78.9,NA,40
1994,East Asia & Pacific,76.04,NA,39
1995,East Asia & Pacific,79.03,NA,38
1996,East Asia & Pacific,83.42,NA,37
1997,East Asia & Pacific,82.59,NA,36
1998,East Asia & Pacific,83.02,NA,34
1999,East Asia & Pacific,83.8,NA,33
2000,East Asia & Pacific,83.68,85.11116054,32
2001,East Asia & Pacific,84.18,NA,30
2002,East Asia & Pacific,83.81,NA,29
2003,East Asia & Pacific,84.51,NA,27
