state,year,health_coverage_total,gdp_per_capita,age65,trade_openness,polity,democracy ,left,center_left,total_left
Argentina,1945,NA,NA,NA,NA,0,0,0,0,0
Argentina,1946,NA,NA,NA,NA,-88,0,0,0,0
Argentina,1947,NA,NA,NA,NA,-88,0,0,0,0
Argentina,1948,NA,NA,NA,NA,0,0,0,0,0
Argentina,1949,NA,NA,NA,NA,0,0,0,0,0
Argentina,1950,NA,NA,NA,NA,0,0,0,0,0
Argentina,1951,NA,NA,NA,NA,0,0,0,0,0
Argentina,1952,NA,NA,NA,NA,0,0,0,0,0
Argentina,1953,NA,NA,NA,NA,0,0,0,0,0
Argentina,1954,NA,NA,NA,NA,0,0,0,0,0
Argentina,1955,NA,NA,NA,NA,-88,0,0,0,0
Argentina,1956,NA,NA,NA,NA,-88,0,0,0,0
Argentina,1957,NA,NA,NA,NA,3,0,0,0,0
Argentina,1958,NA,NA,NA,NA,3,0,0,0,0
Argentina,1959,NA,NA,NA,NA,3,0,0,0,0
Argentina,1960,NA,NA,5.58,15.21,3,0,0,0,0
Argentina,1961,NA,NA,5.72,11.99,3,0,0,0,0
Argentina,1962,NA,1148,5.86,14.08,3,0,0,0,0
Argentina,1963,NA,845,5.99,15.78,3,0,0,0,0
Argentina,1964,NA,1166,6.13,11.13,3,0,0.031,0.026,0.057
Argentina,1965,NA,1271,6.27,10.38,3,0,0.021,0.01,0.031
Argentina,1966,NA,1266,6.43,11.64,0,0,0,0,0
Argentina,1967,NA,1057,6.58,12.49,0,0,0,0,0
Argentina,1968,NA,1136,6.73,11.89,0,0,0,0,0
Argentina,1969,NA,1324,6.88,12.8,0,0,0,0,0
Argentina,1970,NA,1317,7.02,10.34,0,0,0,0,0
Argentina,1971,NA,1366,7.17,12.62,0,0,0,0,0
Argentina,1972,NA,1401,7.31,14.04,0,0,0,0,0
Argentina,1973,NA,2084,7.43,13.32,6,1,0.004,0,0.004
Argentina,1974,NA,2824,7.55,13.19,6,2,0.004,0,0.004
Argentina,1975,NA,2011,7.66,11.8,6,3,0.004,0,0.004
Argentina,1976,NA,1932,7.79,15.1,0,3,0,0,0
Argentina,1977,NA,2112,7.91,16.94,0,3,0,0,0
Argentina,1978,NA,2128,8.02,14.32,0,3,0,0,0
Argentina,1979,NA,2500,8.12,12.84,0,3,0,0,0
Argentina,1980,NA,2737,8.21,11.55,0,3,0,0,0
Argentina,1981,NA,2756,8.29,14.29,0,3,0,0,0
Argentina,1982,NA,2908,8.37,15.61,0,3,0,0,0
Argentina,1983,NA,3532,8.46,14.99,8,4,0,0,0
Argentina,1984,NA,2646,8.54,12.35,8,5,0,0.012,0.012
Argentina,1985,NA,2914,8.61,18.01,8,6,0,0.012,0.012
Argentina,1986,NA,3602,8.72,14.49,8,7,0,0.024,0.024
Argentina,1987,NA,3555,8.81,15.45,8,8,0,0.024,0.024
Argentina,1988,NA,3980,8.89,15.74,8,9,0,0.02,0.02
Argentina,1989,NA,2382,8.97,19.64,7,10,0,0.02,0.02
Argentina,1990,NA,4333,9.05,14.99,7,11,0.004,0.008,0.012
Argentina,1991,NA,5736,9.16,13.75,7,12,0.004,0.008,0.012
Argentina,1992,NA,6825,9.27,14.73,7,13,0.004,0.016,0.02
Argentina,1993,NA,6971,9.38,16.22,7,14,0.004,0.016,0.02
Argentina,1994,NA,9066,9.47,18.13,7,15,0,0.023,0.023
Argentina,1995,NA,8973,9.55,19.77,7,16,0,0.023,0.023
Argentina,1996,NA,9349,9.65,21.51,7,17,0,0.101,0.101
Argentina,1997,NA,9940,9.73,23.34,7,18,0,0.101,0.101
Argentina,1998,NA,10029,9.81,23.35,7,19,0,0.012,0.012
Argentina,1999,NA,9406,9.87,21.38,8,20,0,0.012,0.012
Argentina,2000,NA,9329,9.91,22.62,8,21,0,0,0
Argentina,2001,NA,8732,9.97,21.85,8,22,0,0,0
Argentina,2002,NA,3285,10.02,41.75,8,23,0.004,0.066,0.07
Argentina,2003,NA,4135,10.05,40.64,8,24,0,0.082,0.082
Argentina,2004,65.1,4785,10.08,36.97,8,25,0,0.082,0.082
Argentina,2005,NA,5768,10.11,36.8,8,26,0,0.078,0.078
Argentina,2006,NA,6784,10.16,35.89,8,27,0,0.078,0.078
Argentina,2007,NA,8384,10.21,35.86,8,28,0,0.105,0.105
Argentina,2008,NA,10233,10.27,36.27,8,29,0,0.105,0.105
Argentina,2009,NA,9457,10.33,30.18,8,30,NA,NA,NA
Argentina,2010,NA,11460,10.4,32.21,8,31,NA,NA,NA
Argentina,2011,77.7,13694,10.5,33.57,8,32,NA,NA,NA
Argentina,2012,NA,14680,10.6,29.2,8,33,NA,NA,NA
Argentina,2013,NA,14715,10.7,28.72,8,34,NA,NA,NA
Argentina,2014,NA,NA,10.81,29.45,8,35,NA,NA,NA
Bolivia,1945,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1946,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1947,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1948,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1949,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1950,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1951,NA,NA,NA,NA,1,0,0,0,0
Bolivia,1952,NA,NA,NA,NA,-88,0,0,0,0
Bolivia,1953,NA,NA,NA,NA,-88,0,0,0,0
Bolivia,1954,NA,NA,NA,NA,-88,0,0,0,0
Bolivia,1955,NA,NA,NA,NA,-88,0,0,0,0
Bolivia,1956,NA,NA,NA,NA,1,0,0,0.959,0.959
Bolivia,1957,NA,NA,NA,NA,1,0,0,0.959,0.959
Bolivia,1958,NA,NA,NA,NA,1,0,0,0.959,0.959
Bolivia,1959,NA,NA,NA,NA,1,0,0.02,0.85,0.87
Bolivia,1960,NA,NA,4.6,32.61,1,0,0,0.833,0.833
Bolivia,1961,NA,179,4.53,31.34,1,0,0,0.833,0.833
Bolivia,1962,NA,191,4.44,32.41,1,0,0,0.889,0.889
Bolivia,1963,NA,201,4.34,34.73,1,0,0,0.889,0.889
Bolivia,1964,NA,222,4.24,34.93,0,0,0,0,0
Bolivia,1965,NA,242,4.14,37.05,0,0,0,0,0
Bolivia,1966,NA,259,4.09,38.11,0,0,0,0,0
Bolivia,1967,NA,276,4.03,39.6,0,0,0,0,0
Bolivia,1968,NA,226,3.97,49.09,0,0,0,0,0
Bolivia,1969,NA,234,3.91,49.74,0,0,0,0,0
Bolivia,1970,NA,241,3.84,48.95,0,0,0,0,0
Bolivia,1971,NA,253,3.82,45.8,0,0,0,0,0
Bolivia,1972,NA,284,3.8,45.13,0,0,0,0,0
Bolivia,1973,NA,278,3.77,56.03,0,0,0,0,0
Bolivia,1974,NA,451,3.74,62.09,0,0,0,0,0
Bolivia,1975,NA,504,3.71,58.15,0,0,0,0,0
Bolivia,1976,NA,559,3.74,57.56,0,0,0,0,0
Bolivia,1977,NA,645,3.76,56.42,0,0,0,0,0
Bolivia,1978,NA,734,3.78,52.7,0,0,0,0,0
Bolivia,1979,NA,843,3.8,51.57,0,0,0,0,0
Bolivia,1980,NA,845,3.8,46.81,0,0,0,0,0
Bolivia,1981,NA,1072,3.85,46.22,0,0,0.077,0.362,0.439
Bolivia,1982,NA,994,3.89,58.47,8,1,0.077,0.362,0.439
Bolivia,1983,NA,941,3.93,52.36,8,2,0.077,0.362,0.439
Bolivia,1984,NA,1046,3.97,49.47,8,3,0.077,0.362,0.439
Bolivia,1985,NA,890,4.02,41.89,9,4,0.077,0.362,0.439
Bolivia,1986,NA,640,4.09,47.03,9,5,0.069,0.223,0.292
Bolivia,1987,NA,687,4.16,43.62,9,6,0.069,0.223,0.292
Bolivia,1988,NA,709,4.23,41.91,9,7,0.069,0.223,0.292
Bolivia,1989,NA,711,4.31,45.65,9,8,0.069,0.223,0.292
Bolivia,1990,NA,716,4.41,46.7,9,9,0.077,0.254,0.331
Bolivia,1991,NA,768,4.48,48.44,9,10,0.077,0.254,0.331
Bolivia,1992,NA,792,4.56,49.11,9,11,0.077,0.254,0.331
Bolivia,1993,NA,786,4.64,47.47,9,12,0.077,0.254,0.331
Bolivia,1994,NA,801,4.72,48.86,9,13,0.062,0,0.062
Bolivia,1995,NA,879,4.79,49.74,9,14,0.062,0,0.062
Bolivia,1996,NA,947,4.85,49.86,9,15,0.062,0,0.062
Bolivia,1997,NA,993,4.91,50.47,9,16,0.062,0,0.062
Bolivia,1998,NA,1043,4.97,52.28,9,17,0.031,0.192,0.223
Bolivia,1999,NA,996,5.02,44.17,9,18,0.031,0.192,0.223
Bolivia,2000,NA,989,5.06,45.6,9,19,0.031,0.192,0.223
Bolivia,2001,NA,939,5.12,45.23,9,20,0.031,0.192,0.223
Bolivia,2002,29.8,894,5.18,49.35,9,21,0.008,0.2,0.208
Bolivia,2003,NA,896,5.23,51.97,8,22,0.008,0.2,0.208
Bolivia,2004,NA,955,5.3,57.46,8,23,0.008,0.2,0.208
Bolivia,2005,NA,1021,5.39,67.64,8,24,0.008,0.2,0.208
Bolivia,2006,NA,1203,5.49,74.54,8,25,0,0.062,0.062
Bolivia,2007,NA,1356,5.6,76.06,8,26,0,0.062,0.062
Bolivia,2008,NA,1696,5.72,82.87,8,27,0,0.062,0.062
Bolivia,2009,44.4,1735,5.84,68.63,7,28,NA,NA,NA
Bolivia,2010,NA,1935,5.95,75.51,7,29,NA,NA,NA
Bolivia,2011,NA,2320,6.05,82.53,7,30,NA,NA,NA
Bolivia,2012,NA,2576,6.14,85.1,7,31,NA,NA,NA
Bolivia,2013,NA,2868,6.23,81.39,7,32,NA,NA,NA
Bolivia,2014,NA,NA,6.34,NA,7,33,NA,NA,NA
Brazil,1945,NA,NA,NA,NA,-88,0,0.049,0.077,0.126
Brazil,1946,NA,NA,NA,NA,7,1,0.049,0.077,0.126
Brazil,1947,NA,NA,NA,NA,6,1,0.049,0.077,0.126
Brazil,1948,NA,NA,NA,NA,6,1,0.049,0.077,0.126
Brazil,1949,NA,NA,NA,NA,6,1,0.049,0.077,0.126
Brazil,1950,NA,NA,NA,NA,6,1,0.049,0.077,0.126
Brazil,1951,NA,NA,NA,NA,6,1,0.003,0.171,0.174
Brazil,1952,NA,NA,NA,NA,6,1,0.003,0.171,0.174
Brazil,1953,NA,NA,NA,NA,6,1,0.003,0.171,0.174
Brazil,1954,NA,NA,NA,NA,6,1,0.003,0.171,0.174
Brazil,1955,NA,NA,NA,NA,6,1,0.003,0.181,0.184
Brazil,1956,NA,NA,NA,NA,6,1,0.003,0.181,0.184
Brazil,1957,NA,NA,NA,NA,6,1,0.003,0.181,0.184
Brazil,1958,NA,NA,NA,NA,6,1,0.003,0.181,0.184
Brazil,1959,NA,NA,NA,NA,6,1,0.005,0.187,0.192
Brazil,1960,NA,NA,3.14,14.18,6,1,0.005,0.187,0.192
Brazil,1961,NA,203,3.18,14.62,5,0,0.005,0.187,0.192
Brazil,1962,NA,258,3.23,9.06,5,0,0.005,0.187,0.192
Brazil,1963,NA,289,3.27,18.15,4,0,0.006,0.262,0.268
Brazil,1964,NA,259,3.3,12.06,-88,0,0,0,0
Brazil,1965,NA,258,3.32,13.29,0,0,0,0,0
Brazil,1966,NA,312,3.34,12.82,0,0,0,0,0
Brazil,1967,NA,344,3.36,11.54,0,0,0,0,0
Brazil,1968,NA,371,3.38,12.61,0,0,0,0,0
Brazil,1969,NA,400,3.4,13.17,0,0,0,0,0
Brazil,1970,NA,441,3.42,14.48,0,0,0,0,0
Brazil,1971,NA,500,3.46,14.55,0,0,0,0,0
Brazil,1972,NA,581,3.5,16.1,0,0,0,0,0
Brazil,1973,NA,768,3.53,17.77,0,0,0,0,0
Brazil,1974,NA,995,3.57,21.9,2,0,0,0,0
Brazil,1975,NA,1143,3.6,19.04,2,0,0,0,0
Brazil,1976,NA,1378,3.64,16.47,2,0,0,0,0
Brazil,1977,NA,1553,3.67,15.17,2,0,0,0,0
Brazil,1978,NA,1729,3.7,14.54,2,0,0,0,0
Brazil,1979,NA,1892,3.72,16.3,2,0,0,0,0
Brazil,1980,NA,1931,3.73,20.36,2,0,0,0,0
Brazil,1981,NA,2115,3.75,19.22,2,0,0,0,0
Brazil,1982,NA,2209,3.76,15.88,2,0,0,0,0
Brazil,1983,NA,1558,3.77,20.43,2,0,0,0,0
Brazil,1984,NA,1567,3.78,21.47,2,0,0,0,0
Brazil,1985,NA,1637,3.79,19.34,7,1,0,0,0
Brazil,1986,NA,1929,3.83,15.17,7,1,0,0,0
Brazil,1987,NA,2074,3.87,15.65,7,1,0.047,0.049,0.096
Brazil,1988,NA,2287,3.91,16.58,8,1,0.047,0.049,0.096
Brazil,1989,NA,2894,3.96,14.39,8,1,0.047,0.049,0.096
Brazil,1990,NA,3087,4.02,15.16,8,1,0.047,0.049,0.096
Brazil,1991,NA,2677,4.11,16.59,8,1,0.107,0.167,0.274
Brazil,1992,NA,2526,4.21,19.25,8,1,0.107,0.167,0.274
Brazil,1993,NA,2792,4.31,19.6,8,1,0.107,0.167,0.274
Brazil,1994,NA,3426,4.4,19.33,8,1,0.107,0.167,0.274
Brazil,1995,NA,4750,4.48,16.63,8,1,0.148,0.187,0.335
Brazil,1996,NA,5108,4.6,15.58,8,1,0.148,0.187,0.335
Brazil,1997,NA,5219,4.71,16.52,8,1,0.148,0.187,0.335
Brazil,1998,NA,4979,4.82,16.38,8,1,0.148,0.187,0.335
Brazil,1999,NA,3412,4.93,20.9,8,1,0.17,0.242,0.412
Brazil,2000,NA,3694,5.05,22.58,8,1,0.17,0.242,0.412
Brazil,2001,NA,3128,5.2,26.93,8,1,0.17,0.242,0.412
Brazil,2002,NA,2811,5.36,27.58,8,1,0.17,0.242,0.412
Brazil,2003,NA,3040,5.53,28.11,8,1,0.098,0.356,0.454
Brazil,2004,NA,3607,5.7,29.67,8,1,0.098,0.356,0.454
Brazil,2005,NA,4739,5.86,27.07,8,1,0.098,0.356,0.454
Brazil,2006,NA,5788,6.01,26.04,8,1,0.098,0.356,0.454
Brazil,2007,NA,7194,6.17,25.32,8,1,0.125,0.341,0.466
Brazil,2008,NA,8623,6.32,27.28,8,1,0.125,0.341,0.466
Brazil,2009,NA,8373,6.49,22.14,8,1,NA,NA,NA
Brazil,2010,NA,10978,6.68,22.51,8,1,NA,NA,NA
Brazil,2011,NA,12576,6.89,23.71,8,1,NA,NA,NA
Brazil,2012,NA,11320,7.1,25.27,8,1,NA,NA,NA
Brazil,2013,NA,11208,7.33,26.38,8,1,NA,NA,NA
Brazil,2014,NA,NA,7.58,25.79,8,1,NA,NA,NA
Chile,1945,NA,NA,NA,NA,3,0,0.204,0.265,0.469
Chile,1946,NA,NA,NA,NA,3,0,0.204,0.265,0.469
Chile,1947,NA,NA,NA,NA,3,0,0.204,0.265,0.469
Chile,1948,NA,NA,NA,NA,3,0,0.204,0.265,0.469
Chile,1949,NA,NA,NA,NA,3,0,0.122,0.231,0.353
Chile,1950,NA,NA,NA,NA,3,0,0.122,0.231,0.353
Chile,1951,NA,NA,NA,NA,3,0,0.122,0.231,0.353
Chile,1952,NA,NA,NA,NA,3,0,0.122,0.231,0.353
Chile,1953,NA,NA,NA,NA,3,0,0.197,0.143,0.34
Chile,1954,NA,NA,NA,NA,3,0,0.197,0.143,0.34
Chile,1955,NA,NA,NA,NA,5,0,0.197,0.143,0.34
Chile,1956,NA,NA,NA,NA,5,0,0.197,0.143,0.34
Chile,1957,NA,NA,NA,NA,5,0,0.082,0.245,0.327
Chile,1958,NA,NA,NA,NA,5,0,0.082,0.245,0.327
Chile,1959,NA,NA,NA,NA,5,0,0.082,0.245,0.327
Chile,1960,NA,NA,4.93,29.18,5,0,0.082,0.245,0.327
Chile,1961,NA,600,5.01,28.1,5,0,0.272,0,0.272
Chile,1962,NA,684,5.08,25.55,5,0,0.272,0,0.272
Chile,1963,NA,664,5.14,26.76,5,0,0.272,0,0.272
Chile,1964,NA,685,5.19,25.96,6,1,0.272,0,0.272
Chile,1965,NA,700,5.24,26.16,6,2,0.245,0,0.245
Chile,1966,NA,793,5.29,28.51,6,3,0.245,0,0.245
Chile,1967,NA,765,5.33,27.4,6,4,0.245,0,0.245
Chile,1968,NA,767,5.36,27.13,6,5,0.245,0,0.245
Chile,1969,NA,870,5.4,30.64,6,6,0.247,0.16,0.407
Chile,1970,NA,938,5.44,28.63,6,7,0.247,0.16,0.407
Chile,1971,NA,1096,5.49,23.05,6,8,0.247,0.16,0.407
Chile,1972,NA,1161,5.56,23.06,6,9,0.247,0.16,0.407
Chile,1973,NA,1622,5.62,29.12,0,9,0.388,0,0.388
Chile,1974,NA,1513,5.67,40.09,0,9,0,0,0
Chile,1975,NA,693,5.71,52.85,0,9,0,0,0
Chile,1976,NA,932,5.77,45.92,0,9,0,0,0
Chile,1977,NA,1245,5.82,43.04,0,9,0,0,0
Chile,1978,NA,1416,5.86,44.51,0,9,0,0,0
Chile,1979,NA,1879,5.9,49.38,0,9,0,0,0
Chile,1980,NA,2463,5.94,49.8,0,9,0,0,0
Chile,1981,NA,2873,6,43.17,0,9,0,0,0
Chile,1982,NA,2109,6.05,40.62,0,9,0,0,0
Chile,1983,NA,1685,6.11,45.33,0,9,0,0,0
Chile,1984,NA,1613,6.15,49.58,0,9,0,0,0
Chile,1985,NA,1359,6.2,53.86,0,9,0,0,0
Chile,1986,NA,1437,6.26,55.12,0,9,0,0,0
Chile,1987,NA,1667,6.31,57.35,0,9,0,0,0
Chile,1988,NA,1932,6.36,61.5,2,9,0,0,0
Chile,1989,NA,2187,6.42,66.04,8,10,0,0,0
Chile,1990,NA,2388,6.49,64.54,8,11,0.083,0.2,0.283
Chile,1991,NA,2707,6.59,60.17,8,12,0.083,0.2,0.283
Chile,1992,NA,3244,6.7,57.98,8,13,0.083,0.2,0.283
